time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
14.203,,5466000,1376000,1458000,1849000,105000,6714000,237000,0,8000,4000,70000,72000,2536000,3470000,6006000,25000000,127.4,124.7,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
14.403,,5466000,1376000,1853000,1673000,105000,6711000,237000,0,8000,4000,70000,70000,2508000,5097000,7605000,25000000,127.4,125.15,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
14.603,,5496000,1296000,1781000,1331000,858000,6711000,207000,0,8000,11000,70000,70000,2509000,4161000,6670000,25000000,127.4,125.15,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
14.804,,5496000,1398000,1995000,1371000,1759000,6711000,207000,0,8000,11000,70000,70000,2544000,4546000,7090000,25000000,127.4,125.15,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
15.004,,5496000,1318000,1639000,1874000,4648000,6661000,232000,20000,662000,4000,90000,72000,2541000,4990000,7531000,25000000,127.4,125.15,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
15.204,,5545000,1265000,1401000,1008000,105000,6661000,232000,10000,38000,4000,70000,72000,2538000,7415000,9953000,25000000,127.4,124.7,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
15.404,,5545000,1296000,1626000,1048000,105000,6661000,232000,10000,38000,4000,70000,72000,2518000,4856000,7374000,25000000,127.4,125.15,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
15.604,,5545000,1273000,1674000,1734000,105000,6696000,232000,10000,38000,4000,72000,72000,2523000,4348000,6871000,25000000,127.4,125.15,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
15.803,,5557000,1140000,1853000,987000,105000,6696000,232000,10000,43000,11000,70000,72000,2509000,4699000,7208000,25000000,127.4,125.15,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
16.003,,5557000,1251000,1900000,1048000,105000,6696000,232000,0,8000,11000,70000,72000,2496000,4814000,7310000,25000000,127.4,125.15,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
16.204,,5557000,1140000,1853000,1351000,105000,6605000,217000,0,8000,11000,70000,70000,2511000,4672000,7183000,25000000,127.4,124.7,97.88,120.2,126.1616,123.575,118.4,126.725,123.2366
16.403,,5426000,1028000,1544000,1371000,105000,6605000,217000,0,8000,4000,72000,72000,2514000,8909000,11423000,25000000,127.4,124.7,97.88,120.2,126.05,123.575,118.4,126.725,123.2366
