time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
19.203,,5929000,1132000,1267000,1178000,3311000,6601000,198000,20000,5000,11000,68000,63000,2200000,3896000,6096000,25000000,113,109.4,80.6,106.7,112.1,110.3,103.775,112.325,109.5116
19.403,,5929000,1287000,1853000,670000,105000,6601000,190000,20000,3000,11000,68000,63000,2199000,4821000,7020000,25000000,113,109.4,80.6,106.8116,112.2116,110.4116,103.775,112.325,109.5116
19.603,,5926000,1198000,1568000,1056000,105000,6601000,190000,10000,76000,4000,68000,65000,2202000,4582000,6784000,25000000,113,109.4,80.6,106.8116,112.2116,110.4116,103.775,112.325,109.5116
19.803,,5926000,1420000,1473000,746000,105000,6634000,190000,0,30000,4000,68000,63000,2205000,4126000,6331000,25000000,113,109.4,80.6,106.8116,112.2116,110.4116,103.775,112.325,109.5116
20.003,,5926000,1420000,1805000,874000,105000,6634000,209000,0,30000,4000,68000,65000,2171000,4163000,6334000,25000000,113,108.95,80.6,106.8116,112.2116,110.4116,103.775,112.325,109.5116
20.202,,5652000,1198000,1354000,1008000,105000,6634000,209000,0,30000,4000,68000,63000,2253000,4222000,6475000,25000000,113,109.4,80.6,106.8116,112.2116,110.4116,103.775,112.325,109.5116
20.402,,5652000,1154000,1686000,1500000,105000,6583000,209000,10000,30000,4000,68000,63000,2375000,3519000,5894000,25000000,113,109.4,80.6,106.8116,112.2116,110.525,103.8866,112.4366,109.625
20.603,,5847000,1353000,1758000,670000,503000,6583000,221000,0,30000,4000,72000,65000,2192000,3511000,5703000,25000000,113,109.4,80.6,106.8116,112.2116,110.525,103.8866,112.4366,109.625
20.802,,5847000,1176000,1829000,2016000,105000,6583000,221000,0,30000,4000,68000,63000,2380000,3722000,6102000,25000000,113,109.4,80.6,106.8116,112.2116,110.525,103.8866,112.4366,109.625
21.003,,5847000,1353000,1663000,1613000,105000,6607000,221000,0,30000,4000,68000,63000,2252000,3138000,5390000,25000000,113,109.4,80.6,106.8116,112.2116,110.525,103.8866,112.4366,109.625
21.203,,5938000,1243000,1663000,1121000,105000,6607000,269000,0,5000,4000,74000,63000,2225000,4212000,6437000,25000000,113,109.4,80.6,106.8116,112.2116,110.525,103.8866,112.4366,109.625
21.403,,5938000,1132000,1362000,1580000,105000,6607000,269000,0,5000,11000,68000,63000,2293000,3373000,5666000,25000000,113,109.4,80.6,106.925,112.325,110.525,104,112.55,109.7366
21.603,,5938000,1132000,1710000,1880000,105000,6922000,269000,0,5000,11000,68000,63000,2316000,3777000,6093000,25000000,113,109.4,80.6,106.925,112.325,110.525,104,112.55,109.7366
21.803,,6253000,1154000,1853000,1180000,105000,6922000,221000,0,5000,11000,68000,65000,2214000,3469000,5683000,25000000,113,109.4,80.6,106.925,112.325,110.525,104,112.55,109.7366
22.002,,6253000,1058000,1378000,1220000,105000,6922000,221000,0,5000,11000,68000,63000,2246000,3573000,5819000,25000000,113,109.4,80.6,106.925,112.325,110.525,104,112.55,109.7366
22.202,,6253000,1050000,1339000,1300000,105000,7070000,212000,0,5000,11000,68000,63000,2227000,3853000,6080000,25000000,113,109.4,80.6,106.925,112.325,110.525,104,112.55,109.7366
22.402,,6323000,1243000,1483000,968000,105000,7070000,212000,0,5000,4000,68000,63000,2225000,3091000,5316000,25000000,113,109.4,80.6,107.0366,112.325,110.6366,104.1116,112.55,109.7366
22.602,,6323000,1065000,1496000,1480000,105000,7116000,212000,0,5000,11000,68000,63000,2177000,3511000,5688000,25000000,113,109.4,80.6,107.0366,112.325,110.6366,104.1116,112.55,109.7366
22.802,,6323000,1073000,1829000,928000,105000,7116000,210000,0,5000,11000,68000,63000,2254000,3609000,5863000,25000000,113,109.4,80.6,107.0366,112.325,110.6366,104.1116,112.55,109.7366
23.003,,6310000,1118000,1473000,1100000,105000,7116000,210000,0,5000,11000,68000,65000,2216000,3336000,5552000,25000000,113,109.4,80.6,107.0366,112.325,110.6366,104.1116,112.55,109.7366
23.203,,6310000,1110000,1663000,948000,105000,7032000,210000,0,5000,11000,68000,63000,2161000,3285000,5446000,25000000,113,109.4,80.6,107.0366,112.325,110.6366,104.1116,112.55,109.7366
23.403,,6310000,1050000,1473000,1160000,105000,7032000,200000,0,5000,11000,68000,65000,2213000,3538000,5751000,25000000,113,109.4,80.6,107.0366,112.4366,110.6366,104.1116,112.6616,109.85
